id,code,name
4,Afghanistan,Afghanistan
8,Albania,Albania
12,Algeria,Algeria
24,Angola,Angola
32,Argentina,Argentina
51,Armenia,Armenia
533,Aruba,Aruba
36,Australia,Australia
40,Austria,Austria
31,Azerbaijan,Azerbaijan
44,Bahamas,Bahamas
48,Bahrain,Bahrain
50,Bangladesh,Bangladesh
52,Barbados,Barbados
112,Belarus,Belarus
56,Belgium,Belgium
84,Belize,Belize
204,Benin,Benin
68,Bolivia,Bolivia
70,Bosnia and Herzegovina,Bosnia and Herzegovina
72,Botswana,Botswana
76,Brazil,Brazil
92,British Virgin Islands,"Virgin Islands, British"
100,Bulgaria,Bulgaria
854,Burkina Faso,Burkina Faso
108,Burundi,Burundi
116,Cambodia,Cambodia
120,Cameroon,Cameroon
124,Canada,Canada
136,Cayman Islands,Cayman Islands
140,Central African Rep.,Central African Republic
148,Chad,Chad
152,Chile,Chile
156,China,China
170,Colombia,Colombia
178,Congo,Congo
188,Costa Rica,Costa Rica
191,Croatia,Croatia
192,Cuba,Cuba
196,Cyprus,Cyprus
203,Czech Rep.,Czech Republic
180,Dem. Rep. of the Congo,Democratic Republic of the Congo
208,Denmark,Denmark
262,Djibouti,Djibouti
214,Dominican Rep.,Dominican Republic
218,Ecuador,Ecuador
818,Egypt,Egypt
222,El Salvador,El Salvador
232,Eritrea,Eritrea
233,Estonia,Estonia
231,Ethiopia,Ethiopia
242,Fiji,Fiji
246,Finland,Finland
250,France,France
266,Gabon,Gabon
270,Gambia,Gambia
268,Georgia,Georgia
276,Germany,Germany
288,Ghana,Ghana
300,Greece,Greece
320,Guatemala,Guatemala
324,Guinea,Guinea
624,Guinea-Bissau,Guinea-Bissau
328,Guyana,Guyana
340,Honduras,Honduras
344,Hong Kong,Hong Kong
348,Hungary,Hungary
352,Iceland,Iceland
356,India,India
360,Indonesia,Indonesia
368,Iraq,Iraq
372,Ireland,Ireland
364,Islamic Rep. of Iran,Islamic Republic of Iran
376,Israel,Israel
380,Italy,Italy
388,Jamaica,Jamaica
392,Japan,Japan
400,Jordan,Jordan
398,Kazakhstan,Kazakhstan
404,Kenya,Kenya
414,Kuwait,Kuwait
417,Kyrgyzstan,Kyrgyzstan
428,Latvia,Latvia
422,Lebanon,Lebanon
426,Lesotho,Lesotho
430,Liberia,Liberia
434,Libya,Libya
438,Liechtenstein,Liechtenstein
440,Lithuania,Lithuania
442,Luxembourg,Luxembourg
450,Madagascar,Madagascar
454,Malawi,Malawi
458,Malaysia,Malaysia
466,Mali,Mali
470,Malta,Malta
478,Mauritania,Mauritania
484,Mexico,Mexico
492,Monaco,Monaco
496,Mongolia,Mongolia
499,Montenegro,Montenegro
504,Morocco,Morocco
508,Mozambique,Mozambique
104,Myanmar,Myanmar
516,Namibia,Namibia
524,Nepal,Nepal
528,Netherlands,Netherlands
554,New Zealand,New Zealand
558,Nicaragua,Nicaragua
562,Niger,Niger
566,Nigeria,Nigeria
578,Norway,Norway
512,Oman,Oman
586,Pakistan,Pakistan
585,Palau,Palau
591,Panama,Panama
598,Papua New Guinea,Papua New Guinea
600,Paraguay,Paraguay
604,Peru,Peru
608,Philippines,Philippines
616,Poland,Poland
620,Portugal,Portugal
634,Qatar,Qatar
410,Rep. of Korea,South Korea
498,Rep. of Moldova,Moldova
642,Romania,Romania
643,Russian Federation,Russian Federation
646,Rwanda,Rwanda
662,Saint Lucia,Saint Lucia
682,Saudi Arabia,Saudi Arabia
686,Senegal,Senegal
688,Serbia (and Kosovo),Serbia
694,Sierra Leone,Sierra Leone
702,Singapore,Singapore
703,Slovakia,Slovakia
705,Slovenia,Slovenia
706,Somalia,Somalia
710,South Africa,South Africa
728,South Sudan,South Sudan
724,Spain,Spain
144,Sri Lanka,Sri Lanka
729,Sudan,Sudan
748,Swaziland,Swaziland
752,Sweden,Sweden
756,Switzerland,Switzerland
760,Syrian Arab Rep.,Syrian Arab Republic
762,Tajikistan,Tajikistan
764,Thailand,Thailand
807,The former Yugoslav Rep. of Macedonia,Macedonia
768,Togo,Togo
776,Tonga,Tonga
780,Trinidad and Tobago,Trinidad and Tobago
788,Tunisia,Tunisia
792,Turkey,Turkey
795,Turkmenistan,Turkmenistan
796,Turks and Caicos Islands,Turks and Caicos Islands
800,Uganda,Uganda
804,Ukraine,Ukraine
784,United Arab Emirates,United Arab Emirates
826,United Kingdom,United Kingdom
,United Rep. of Tanzania,
840,United States,United States
,Uruguay,
,Uzbekistan,
,Vanuatu,
,Venezuela,
887,Yemen,Yemen
894,Zambia,Zambia
,Zimbabwe,
